Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Ethio Habasha Restaurant,Muroor Rd,Abu Dhabi,N/A,02-4436013,N/A,https://www.yellowpages-uae.com/ethio-habasha-restaurant-145669.html,
Everest Restaurant,Al Esbij Street,Dubai,N/A,04-3550707,N/A,https://www.yellowpages-uae.com/everest-restaurant-175582.html,
Exotic Restaurant,Karama,Dubai,123375,04-3965557,N/A,https://www.yellowpages-uae.com/exotic-restaurant-117803.html,
Exzotica Restaurant,"Near Lotus Boutique Hotel, Al Baraha, Deira",Dubai,20058,04-2719196,N/A,https://www.yellowpages-uae.com/exzotica-restaurant-62623.html,
Faaz Al Majaz Restaurant & Cafeteria,"Behind City Max Hotel, Near Big Bazar Hypermarket",Sharjah,N/A,06-5220096,N/A,https://www.yellowpages-uae.com/faaz-al-majaz-restaurant-cafeteria-175362.html,
Fahid Restaurent,N/A,Dubai,N/A,04-2260871,N/A,https://www.yellowpages-uae.com/fahid-restaurent-101154.html,
Fairways International,"The Westin Abu Dhabi Golf Resort & Spa, Khalifa City",Abu Dhabi,N/A,02-6169999,N/A,https://www.yellowpages-uae.com/fairways-international-175693.html,
Falafel and Shawarma Cafe,"Opp Centrepoint, Karama",Dubai,N/A,04-3968301,N/A,https://www.yellowpages-uae.com/falafel-and-shawarma-cafe-175285.html,
Falafel Express Restaurant,Dubai Marina,Dubai,N/A,04-4257711,N/A,https://www.yellowpages-uae.com/falafel-express-restaurant-102779.html,
Falafel Zaman,"Behind Ramada Hotel, Al Barsha",Dubai,N/A,04-4226131,N/A,https://www.yellowpages-uae.com/falafel-zaman-175579.html,
Falla Juice & Snacks,"Jumeirah St, Umm Suqeim 2",Dubai,N/A,800-32552,N/A,https://www.yellowpages-uae.com/falla-juice-snacks-146564.html,
Family Palace Restaurant LLC,"Opp Oasis Water, National Paints R/A, Kalba Rd",Sharjah,95368,06-5358335,N/A,https://www.yellowpages-uae.com/family-palace-restaurant-llc-147689.html,
Famous Dave's,"Level 3, Abu Dhabi Mall",Abu Dhabi,N/A,02-6587863,N/A,https://www.yellowpages-uae.com/famous-daves-176396.html,
Fanr Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-6575888,N/A,https://www.yellowpages-uae.com/fanr-restaurant-175694.html,
Fantastic Fresh Food Trading LLC,Hor Al Anz,Dubai,24269,04-2339114,N/A,https://www.yellowpages-uae.com/fantastic-fresh-food-trading-llc-162938.html,
Fantastico Cafe LLC,"Mazaya Centre, Sh Zayed Rd",Dubai,114820,04-3434214,N/A,https://www.yellowpages-uae.com/fantastico-cafe-llc-133560.html,
Fantasy Restaurant,Deira,Dubai,29134,04-2688288,N/A,https://www.yellowpages-uae.com/fantasy-restaurant-135156.html,
Faragalla Cafe,Oud Metha Road,Dubai,N/A,056-4334701,N/A,https://www.yellowpages-uae.com/faragalla-cafe-175482.html,
Fareehan Refreshment,"Behind KM Trading, Salam Street",Abu Dhabi,N/A,02-6774447,N/A,https://www.yellowpages-uae.com/fareehan-refreshment-175534.html,
Farhat Restaurant,Al Qasimiah,Sharjah,29373,06-5669660,N/A,https://www.yellowpages-uae.com/farhat-restaurant-123527.html,
Fatah Sanobir Restaurant,"203, Dar Al Wuhaida building, Hor Al Anz, Deira",Dubai,50715,04-2692334,N/A,https://www.yellowpages-uae.com/mam-electrical-contracting-establishment-26245.html,
FatBurger,"Ground Floor, Mall of the Emirates",Dubai,N/A,04-3477913,N/A,https://www.yellowpages-uae.com/fatburger-175757.html,
Fathima Trading and Catering Co,"Near ADCB, Airport Rd",Abu Dhabi,4710,02-4433490,N/A,https://www.yellowpages-uae.com/fathima-trading-and-catering-co-111697.html,
Fatima House Restaurant,"Al Musalla Rd, Deira",Dubai,45763,04-3976720,N/A,https://www.yellowpages-uae.com/fatima-house-restaurant-117964.html,
Feast,"Sheraton Grand Hotel, Shk Zayed Road",Dubai,N/A,04-5034444,N/A,https://www.yellowpages-uae.com/feast-175833.html,
Feri Kasif Theroom Restaurant,"Diamond 4 Bldg, Near Marina Mall, Dubai Marina",Dubai,N/A,04-4572919,N/A,https://www.yellowpages-uae.com/feri-kasif-theroom-restaurant-145697.html,
Fibber Magee's,"Bhnd Saeed Tower 1, Sh Zayed Rd",Dubai,115944,04-3322400,N/A,https://www.yellowpages-uae.com/fibber-magee-s-113244.html,
Fiesta Restaurant,"Bhnd NMC Hospital, Al Nahda 2",Dubai,N/A,04-2206444,N/A,https://www.yellowpages-uae.com/fiesta-restaurant-68501.html,
Filini,Radisson Blu Hotel,Abu Dhabi,N/A,02-6562000,N/A,https://www.yellowpages-uae.com/filini-175695.html,
Filli,Al Mamzar Corniche,Dubai,N/A,04-2387169,N/A,https://www.yellowpages-uae.com/filli-175246.html,
Finz,"Beach Rotana, Al Zahiyah",Abu Dhabi,N/A,02-6979350,N/A,https://www.yellowpages-uae.com/finz-175736.html,
Firebird Dinner,"Four Seasons Hotel, DIFC",Dubai,N/A,04-5060000,N/A,https://www.yellowpages-uae.com/firebird-dinner-175834.html,
Fish Dubai,"Le Meridian, Mina Seyahi",Dubai,N/A,04-5117139,N/A,https://www.yellowpages-uae.com/fish-dubai-175835.html,
Fish Market Restaurant,Al Wahda St,Sharjah,N/A,06-5397667,N/A,https://www.yellowpages-uae.com/fish-market-restaurant-147654.html,
"Fish N Chips Room, The","Murjan Tower, Jumeirah Beach Res",Dubai,66413,04-4270443,N/A,https://www.yellowpages-uae.com/fish-n-chips-room-the-175629.html,
Fish World,"3rd Flr, Food Court, Burjuman Centre, Bur Dubai",Dubai,26570,04-3514774,N/A,https://www.yellowpages-uae.com/fish-world-126064.html,
Fishmarket - Inter-Continental Abu Dhabi,"Hotel Intercontinental Abu Dhabi, Khalidya",Abu Dhabi,4171,02-6666888,N/A,https://www.yellowpages-uae.com/fishmarket-inter-continental-abu-dhabi-112379.html,
Five Guys Burger,Dubai Mall,Dubai,N/A,04-3804117,N/A,https://www.yellowpages-uae.com/five-guys-burger-175759.html,
Flame & Bake,Next To Hollywood Magic,Abu Dhabi,N/A,600565564,N/A,https://www.yellowpages-uae.com/flame-bake-175522.html,
Flavours - Sheraton,"Near Corniche Hospital, Corniche Rd",Abu Dhabi,640,02-6773333,N/A,https://www.yellowpages-uae.com/flavours-sheraton-111955.html,
Flavours On Two,"Towers Rotana, Shk Zayed Road",Dubai,N/A,04-3438000,N/A,https://www.yellowpages-uae.com/flavours-on-two-175836.html,
Flooka,Dubai Marine Beach Resort,Dubai,N/A,04-3461111,N/A,https://www.yellowpages-uae.com/flooka-175837.html,
Food & Life Global Flavours,Bur Dubai,Dubai,116357,04-3599775,N/A,https://www.yellowpages-uae.com/food-life-global-flavours-149738.html,
Food City Restaurant LLC,Al Muroor,Abu Dhabi,109770,02-4488640,N/A,https://www.yellowpages-uae.com/food-city-restaurant-llc-143622.html,
Food Mountain Restaurant,"Behind Adnoc Petrol Station, Najda Street",Abu Dhabi,N/A,056-2090767,N/A,https://www.yellowpages-uae.com/food-mountain-restaurant-175572.html,
Food Palace Restaurant,Khalifa Str,Abu Dhabi,105912,02-6270080,N/A,https://www.yellowpages-uae.com/food-palace-restaurant-131684.html,
Food Park City Restaurant,Al Nahda,Sharjah,N/A,06-5544757,N/A,https://www.yellowpages-uae.com/food-park-city-restaurant-148066.html,
Food Village Restaurant LLC,"Amman St, Al nahda 1",Dubai,237882,04-2398502,N/A,https://www.yellowpages-uae.com/food-village-restaurant-llc-143860.html,
Foodlands Restaurant LLC,Airport Rd,Abu Dhabi,200,02-6330099,N/A,https://www.yellowpages-uae.com/foodlands-restaurant-llc-104149.html,
Fort Kochi Restaurant,Next To EPPCO Petrol Station,Dubai,N/A,04-2575020,N/A,https://www.yellowpages-uae.com/fort-kochi-restaurant-175324.html,
Fountain Cafe Restaurant,Shk Zayed Rd,Dubai,36853,04-3311502,N/A,https://www.yellowpages-uae.com/fountain-cafe-restaurant-143449.html,
Four Friends Restaurants,"Opp ADCB, Meena Rd",Sharjah,70886,06-5628121,N/A,https://www.yellowpages-uae.com/four-friends-restaurants-68582.html,
Four Season Restaurant,Al Barsha,Dubai,N/A,04-3255444,N/A,https://www.yellowpages-uae.com/four-season-restaurant-145580.html,
Francesco Pizzeria Restaurant,"G Flr, Al Khaleej Centre, Bur Dubai",Dubai,43383,04-3522766,N/A,https://www.yellowpages-uae.com/francesco-pizzeria-restaurant-122720.html,
Frankies Italian Restaurant & Grill,Farimont Bab Al Bahr,Abu Dhabi,N/A,02-6543333,N/A,https://www.yellowpages-uae.com/frankies-italian-restaurant-grill-175698.html,
Fresh & Easy (The Barakat Shop),"Jumeirah Road, Opposite City Bank",Dubai,N/A,04-2272528,N/A,https://www.yellowpages-uae.com/fresh-easy-the-barakat-shop--175570.html,
Fresh & More Cafeteria & Grill,Khalifa 11,Abu Dhabi,N/A,02-5521199,N/A,https://www.yellowpages-uae.com/fresh-more-cafeteria-grill-145640.html,
Friday's,N/A,Dubai,N/A,600-523334,N/A,https://www.yellowpages-uae.com/friday-s-150962.html,
Frutti Juice,Near Lighthouse Community Psychological Clinic,Dubai,N/A,04-3284371,N/A,https://www.yellowpages-uae.com/frutti-juice-175562.html,
Fusion Caffe LLC,N/A,Abu Dhabi,62920,02-4058678,N/A,https://www.yellowpages-uae.com/fusion-caffe-llc-164801.html,
Fusion of Flavors Restaurant,"Damascus St, Al Qusais",Dubai,N/A,04-2678056,N/A,https://www.yellowpages-uae.com/fusion-of-flavors-restaurant-142227.html,
Futue Stra Restaurant & Cafeteria,Al Nahda 1,Dubai,96703,04-2676986,N/A,https://www.yellowpages-uae.com/futue-stra-restaurant-cafeteria-147205.html,
Future Star Restaurant,"Opp Buhari Masjid, Bhnd NMC , Al Nahda 1",Dubai,96703,04-2676986,N/A,https://www.yellowpages-uae.com/future-star-restaurant-175227.html,
GAD Group Of Restaurants,TCA,Abu Dhabi,N/A,02-6451699,N/A,https://www.yellowpages-uae.com/gad-group-of-restaurants-145306.html,
Gafoorkas Thattukada Restaurant,"Opp Lulu Village, Near Emarat Petrol Station, Muhaisnah",Dubai,N/A,04-2511713,N/A,https://www.yellowpages-uae.com/gafoorkas-thattukada-restaurant-177274.html,
Galito's,"E 278-279 - 2nd Floor Extension, Al Wahda Mall",Abu Dhabi,N/A,02-6438221,N/A,https://www.yellowpages-uae.com/galito-s-176411.html,
Garden Side Refreshments,Behind Al Salama Hospital,Abu Dhabi,N/A,02-6763626,N/A,https://www.yellowpages-uae.com/garden-side-refreshments-175548.html,
Gate of Karama Restaurant,Karama,Dubai,6319,04-3374222,N/A,https://www.yellowpages-uae.com/gate-of-karama-restaurant-114413.html,
Gazebo Restaurant,DIFC,Dubai,281066,04-3585550,N/A,https://www.yellowpages-uae.com/gazebo-restaurant-108463.html,
Geddy,Barsha,Dubai,N/A,N/A,N/A,https://www.yellowpages-uae.com/geddy-103607.html,
Generous Vistors Restaurent,"Naif Rd, Deira",Dubai,N/A,04-2712262,N/A,https://www.yellowpages-uae.com/generous-vistors-restaurent-101156.html,
Genghis Grill,"Level 2, Al Wahda Mall Extension",Abu Dhabi,33779,02-6156039,N/A,https://www.yellowpages-uae.com/genghis-grill-176383.html,
Ghoroob Al Shams Restaurant,Al Nahda 2,Dubai,N/A,04-2206868,N/A,https://www.yellowpages-uae.com/ghoroob-al-shams-restaurant-148055.html,
Ghuloom Shahdad Restaurant,Bur Dubai,Dubai,N/A,04-3935186,N/A,https://www.yellowpages-uae.com/ghuloom-shahdad-restaurant-175838.html,
Gillys Restaurant,Behind Fresh & More Supermarket,Abu Dhabi,N/A,02-6712050,N/A,https://www.yellowpages-uae.com/gillys-restaurant-175530.html,
Ginny's Restaurant and Confectionery,"9, Al Zara Bldg, Khalid Bin Walid St, Bur Dubai",Dubai,51043,04-3931876,N/A,https://www.yellowpages-uae.com/ginny-s-restaurant-and-confectionery-114283.html,
Giornotte,"Ritz Carlton, Al Maqta",Abu Dhabi,N/A,02-8188888,N/A,https://www.yellowpages-uae.com/giornotte-175699.html,
Go Thai,"Talal Belhoul Building, Opp NMC Hosp, Bhnd Sahara Centre, Al Nahda",Dubai,20199,04-2506111,N/A,https://www.yellowpages-uae.com/go-thai-175291.html,
Goa Coastal Curries,"Near Dubai Islamic Bank, Karama",Dubai,N/A,04-3795238,N/A,https://www.yellowpages-uae.com/goa-coastal-curries-163102.html,
Golden Burger Restaurant and Internet Cafe,"Abraj Centre, Sabakha Bus Stand, Deira",Dubai,11311,04-2277941,N/A,https://www.yellowpages-uae.com/golden-burger-restaurant-and-internet-cafe-145246.html,
Golden Chariot Confectionery,"Near Grand Hotel, Al Qusais",Dubai,48300,04-2582050,N/A,https://www.yellowpages-uae.com/golden-chariot-confectionery-175220.html,
Golden Crown Restaurant,Hamdan St,Abu Dhabi,73145,02-6772828,N/A,https://www.yellowpages-uae.com/golden-crown-restaurant-116101.html,
Golden Dragon Restaurant,"Trade Centre Road, Karama",Dubai,2044,04-3967788,N/A,https://www.yellowpages-uae.com/golden-dragon-restaurant-26199.html,
Golden Fork Group,"Al Owasis Bldg, Al Rigga Rd",Dubai,13951,04-2239233,N/A,https://www.yellowpages-uae.com/golden-fork-group-117725.html,
Golden Jabal Al Noor Fast Food LLC,"Near Canadian Hosp, Mamzar Centre",Dubai,N/A,04-2692979,N/A,https://www.yellowpages-uae.com/golden-jabal-al-noor-fast-food-llc-175309.html,
Golden Palace Mandi Restaurant,"Bhnd NMC Hosp, Al Nahda 2",Dubai,192078,04-2380049,N/A,https://www.yellowpages-uae.com/golden-palace-mandi-restaurant-175241.html,
Golden Seashell LLC,Satwa,Dubai,N/A,04-3989920,N/A,https://www.yellowpages-uae.com/golden-seashell-llc-147778.html,
Golden Spoon Vegetarian Restaurant,Madinat Zayed,Abu Dhabi,43750,02-6337155,N/A,https://www.yellowpages-uae.com/golden-spoon-vegetarian-restaurant-115413.html,
Golestan Restaurant,Deira,Dubai,65653,04-2828007,N/A,https://www.yellowpages-uae.com/golestan-restaurant-114452.html,
Govindas Garden Restaurant LLC,"Beach Road, Jumeirah",Dubai,30985,04-3211884,N/A,https://www.yellowpages-uae.com/govindas-garden-restaurant-llc-175558.html,
Govindas Restaurant (LLC),Karama,Dubai,30985,04-3960088,N/A,https://www.yellowpages-uae.com/govindas-restaurant-llc--149530.html,
Grand Abu Shakra Rest and Cafe,"Al Maktoum St, Deira",Dubai,119943,04-2229900,N/A,https://www.yellowpages-uae.com/grand-abu-shakra-rest-and-cafe-131182.html,
"Grand Buffet Restaurant, The",Al Wahda St,Sharjah,4561,06-5328000,N/A,https://www.yellowpages-uae.com/grand-buffet-restaurant-the-130225.html,
Grand Cafe Boulevard,Downtown,Dubai,N/A,04-4579944,N/A,https://www.yellowpages-uae.com/grand-cafe-boulevard-167769.html,
Grand Central Restaurant,Muroor Street,Abu Dhabi,N/A,02-6426499,N/A,https://www.yellowpages-uae.com/grand-central-restaurant-175652.html,
Grand Restaurant,N/A,Sharjah,N/A,06-5652080,N/A,https://www.yellowpages-uae.com/grand-restaurant-112183.html,
Grecian Grill Restaurant,N/A,Dubai,500003,04-5531335,N/A,https://www.yellowpages-uae.com/grecian-grill-restaurant-176018.html,
Green Chillies Restaurant,Discovery Gardens,Dubai,N/A,04-4456789,N/A,https://www.yellowpages-uae.com/green-chillies-restaurant-147693.html,
Green Lagoon Restaurant,"Opp Citymax, Barsha 1",Dubai,N/A,04-3792440,N/A,https://www.yellowpages-uae.com/green-lagoon-restaurant-175353.html,
Green Leaf International Restaurant,"Al Noor Building, Behind Sahara Center",Dubai,N/A,04-2560066,N/A,https://www.yellowpages-uae.com/green-leaf-international-restaurant-175287.html,
Green Leaf Restaurant,"Behind Emirates NBD, Near Colours Hyper Market",Abu Dhabi,N/A,02-3048155,N/A,https://www.yellowpages-uae.com/green-leaf-restaurant-175583.html,
Green Leaves Restaurant,Discovery Garden,Dubai,N/A,04-8877866,N/A,https://www.yellowpages-uae.com/green-leaves-restaurant-103551.html,
Green Pepper Restaurant,"Opp Enoc Staff Accomodation, Al Quoz Indl Area 2",Dubai,N/A,04-3416003,N/A,https://www.yellowpages-uae.com/green-pepper-restaurant-175112.html,
Green Place Restaurent,Karama,Dubai,N/A,04-3967909,N/A,https://www.yellowpages-uae.com/green-place-restaurent-101157.html,
Green Sea Hotel,Deira,Dubai,87565,04-2255518,N/A,https://www.yellowpages-uae.com/green-sea-hotel-117901.html,
Green Valley Cafeteria and Restaurant,"Opp Central Bank, Kalba Rd",Fujairah,1875,09-2224929,N/A,https://www.yellowpages-uae.com/green-valley-cafeteria-and-restaurant-134526.html,
Grill O,Dubai Silicon Oasis,Dubai,N/A,04-3255990,N/A,https://www.yellowpages-uae.com/grill-o-175337.html,
Gulf Coast RVs,"Near The Infiniti Center, Sh Zayed Rd",Dubai,643982,04-3805454,N/A,https://www.yellowpages-uae.com/gulf-coast-rvs-151915.html,
Gulf Light Cafeteria,"Bhnd Aramex, Abu Shagara",Sharjah,N/A,06-5599747,N/A,https://www.yellowpages-uae.com/gulf-light-cafeteria-175254.html,
Gulf Pastry,Al Satwa,Dubai,N/A,04-3323339,N/A,https://www.yellowpages-uae.com/gulf-pastry-145308.html,
Habtoor Grand Resort and Spa,"Near Royal Le Meridien, I/Change 5, Jumeirah Beach",Dubai,24454,04-3995000,N/A,https://www.yellowpages-uae.com/habtoor-grand-resort-and-spa-120089.html,
Haddad Hydrabad Restaurent,"Ground Floor, Buldg#5, Damascus Road, Al Qusais",Dubai,N/A,04-2635926,N/A,https://www.yellowpages-uae.com/haddad-hydrabad-restaurent-149923.html,
Hafidh Mohd Restaurent,N/A,Dubai,N/A,04-2682617,N/A,https://www.yellowpages-uae.com/hafidh-mohd-restaurent-142520.html,
Haji Ali Star Cafe,Al Nahda 2,Dubai,N/A,04-2207799,N/A,https://www.yellowpages-uae.com/haji-ali-star-cafe-175236.html,
Haji Sahab Restaurant,"1 B, Discovery Gardens",Dubai,N/A,04-4279602,N/A,https://www.yellowpages-uae.com/haji-sahab-restaurant-176114.html,
Hanoi,Khalifa St,Abu Dhabi,N/A,02-6261112,N/A,https://www.yellowpages-uae.com/hanoi-146015.html,
Hapi Cafe,Al Quoz,Dubai,N/A,04-2251807,N/A,https://www.yellowpages-uae.com/hapi-cafe-175760.html,
Happy Malabar Cafe & Restaurant,"Near Karachi Darbar, Satwa",Dubai,N/A,04-3234322,N/A,https://www.yellowpages-uae.com/happy-malabar-cafe-restaurant-175318.html,
Haram Restaurant,Near Satwa Bus Stand,Dubai,N/A,04-3317799,N/A,https://www.yellowpages-uae.com/haram-restaurant-175317.html,
Hard Walls,Corniche Rd,Abu Dhabi,43695,02-6814200,N/A,https://www.yellowpages-uae.com/hard-walls-127321.html,
Hari Restaurant,"Opp Liberty S/Room, New Double Cola Rd",Sharjah,28650,06-5338414,N/A,https://www.yellowpages-uae.com/hari-restaurant-128589.html,
Haseen Rest and Mini Market,"R/A 8, Jebel Ali Free Zone",Jebel Ali,2316,04-8839944,N/A,https://www.yellowpages-uae.com/haseen-rest-and-mini-market-126508.html,
Haseen Restaurant,Jebel Ali Free Zone,Dubai,N/A,04-8839955,N/A,https://www.yellowpages-uae.com/haseen-restaurant-147112.html,
Hatam Al Taai Restaurant,"Baniyas Sq, Opp Kuwaiti S/M, Deira",Dubai,1026,04-2247776,N/A,https://www.yellowpages-uae.com/hatam-al-taai-restaurant-138427.html,
Hatta Fort Hotel,"Oman-Hatta Main Highway, Resort Area",Dubai,9277,04-8523211,N/A,https://www.yellowpages-uae.com/hatta-fort-hotel-113343.html,
Haunters Room & Grill,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina",Dubai,N/A,04-3994141,N/A,https://www.yellowpages-uae.com/haunters-room-grill-143105.html,
Havana Group,Hamdan Street,Abu Dhabi,33066,02-6724400,N/A,https://www.yellowpages-uae.com/havana-group-119067.html,
Hayat Sweets,"Near Russian Embassy, Hamdan Street",Abu Dhabi,N/A,02-6661590,N/A,https://www.yellowpages-uae.com/hayat-sweets-175585.html,
Hayath Restaurant,Dibba,Fujairah,11401,09-2443282,N/A,https://www.yellowpages-uae.com/hayath-restaurant-121422.html,
Heroes Restaurant,Crown Plaza,Abu Dhabi,N/A,02-6166132,N/A,https://www.yellowpages-uae.com/heroes-restaurant-175653.html,
Hiccup,"Fotouh Al Khair Centre, Al Markaziyah",Abu Dhabi,N/A,02-6315111,N/A,https://www.yellowpages-uae.com/hiccup-175700.html,
Himalaya Restaurent,Deria -Naif Road,Dubai,N/A,04-2252293,N/A,https://www.yellowpages-uae.com/himalaya-restaurent-101160.html,
Hobaita Restaurent,"Naif Rd, Deira",Dubai,N/A,04-2223749,N/A,https://www.yellowpages-uae.com/hobaita-restaurent-142909.html,
Home Foods Restaurant,"Karama Centre, Opp Dubai Municipality, Karama",Dubai,165,04-3979910,N/A,https://www.yellowpages-uae.com/home-foods-restaurant-133154.html,
Hot Burger Restaurant,"Near Abu Shagara Park, Abu Shagara",Sharjah,N/A,06-5557800,N/A,https://www.yellowpages-uae.com/hot-burger-restaurant-146789.html,
Hot Food Restaurant & Catering,Mussafah 11,Abu Dhabi,N/A,02-5520500,N/A,https://www.yellowpages-uae.com/hot-food-restaurant-catering-145670.html,
Hum Yum Restaurant,"Lighthouse Community Psychological Clinic, Jumeira Beach Road",Dubai,N/A,04-3883332,N/A,https://www.yellowpages-uae.com/hum-yum-restaurant-175538.html,
Humpty Dumpty Restaurant LLC,"Opp Burjuman Business Towers, Near FNS Cafe, Karama",Dubai,N/A,04-3995786,N/A,https://www.yellowpages-uae.com/humpty-dumpty-restaurant-llc-175286.html,
Hyderabad Star Restaurant,"Near Etisalat, Electra Street",Abu Dhabi,35004,02-6352622,N/A,https://www.yellowpages-uae.com/hyderabad-star-restaurant-175541.html,
Hyson Restaurent,Satwa,Dubai,N/A,04-3291100,N/A,https://www.yellowpages-uae.com/hyson-restaurent-143788.html,
Hyu Korean Restaurant,Oud Metha,Dubai,N/A,04-3344294,N/A,https://www.yellowpages-uae.com/hyu-korean-restaurant-175626.html,
Ibn Al Badiya Restaurant,N/A,Abu Dhabi,N/A,02-6414478,N/A,https://www.yellowpages-uae.com/ibn-al-badiya-restaurant-145581.html,
Ibn Hamido Seafood Restaurant,Al Barsha,Dubai,N/A,04-3958599,N/A,https://www.yellowpages-uae.com/ibn-hamido-seafood-restaurant-68544.html,
Ice & Spice,"Near Sunrise Supermarket, Karama",Dubai,N/A,04-3355922,N/A,https://www.yellowpages-uae.com/ice-spice-68563.html,
Icon Bar,"Raddison Blue Hotel, Media City",Dubai,N/A,04-3669111,N/A,https://www.yellowpages-uae.com/icon-bar-175643.html,
